FAKE_HCN,FNAME,LNAME,DOB,CITY,SEX,EDUCATION,MARITAL_STATUS
9999999900,Philip,Fry,11-Mar-70,Toronto,M,2,N
9999999898,Leela,Turanga,01-Nov-40,Toronto,F,4,N
9999999896,Bender,Rodriguez,09-Jan-90,Toronto,U,9,U
9999999894,Amy,Wong,01-Dec-61,Toronto,F,4,N
9999999892,Hermes,Conrad,19-Jun-89,Toronto,M,4,N
9999999890,Hubert,Farnsworth,31-Dec-59,Toronto,M,4,N
9999999888,John,Zoidberg,31-Dec-39,Toronto,M,4,N
9999999886,Lord,Nibbler,11-Dec-67,North York,U,9,U
9999999884,Zapp,Brannigan,16-Dec-67,Unknown,M,1,N
9999999882,Kif,Kroker,29-Jun-65,Toronto,M,3,N
9999999880,Antonio,Calculon,19-Mar-69,Toronto,M,9,N
9999999878,Dwight,Conrad,28-Jul-44,Toronto,M,9,N
9999999876,Cubert,Farnsworth,04-Aug-96,Toronto,M,4,N
9999999874,Linda,Schoonhoven,25-Jan-02,Toronto,F,9,N
9999999872,Barbados,Slim,27-Feb-31,Toronto,U,9,N
9999999870,Bubblegum,Tate,15-Sep-55,Toronto,U,9,N
9999999868,Tinny,Tim,04-Feb-81,Toronto,U,9,N
9999999866,Morris,Turanga,11-Dec-80,Toronto,M,9,Y
9999999864,Munda,Turanga,01-Jan-96,Toronto,F,9,Y
9999999862,Inez,Wong,09-Mar-32,Toronto,F,9,Y
9999999860,Leo,Wong,27-Feb-77,Toronto,M,9,Y
