FAKE_HCN,FNAME,LNAME,DOB,CITY,SEX,EDUCATION,MARITAL_STATUS
9999999911,Homer,Simpson,01-Jan-50,Toronto,M,2,Y
9999999911,HOMER,Simpson,01-Jan-50,TORONTO,M,2,Y
9999999911,HOMER,SIMPSON,01-Jan-50,Toront,M,2,Y
9999999911,HoMER,simpson,01-Jan-50,Tor,M,2,Y
9999999911,HOMER,SIMPSON,01-Jan-50,6ix,M,2,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999916,Marge,Simpson,24-Mar-70,Toronto,F,3,Y
9999999925,LISA,SIMPSON,24-Apr-00,Toronto,F,1,N
9999999926,MaGGIE,SimpSON,01-Jan-10,Toronto,F,1,N
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,U
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,U
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,U
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,U
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,U
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,Unknown
9999999927,NED,FLANDERS,19-Jul-75,North York,M,4,unknown
9999999927,NED,FLANDERS,19-Jul-75,NorthYork,M,4,UNKNOWN
9999999935,Akira,,10-Sep-46,Unknown,,9,U
9999999936,Aristotle,Amadopolis,31-Oct-45,,,9,U
9999999937,Mary,Bailey,25-Nov-48,,F,9,U
9999999938,Patty,Bouvier,25-Dec-66,Scarborough,F,3,N
9999999939,Selma,Bouvier,25-Dec-66,Scarborough,F,3,N
9999999940,Crazy Cat Lady,,22-Apr-45,Vaughan,F,4,U
9999999941,Comic Book Guy,,,Vaughan,M,1,Y
9999999942,Todd,Flanders,12-Sep-89,North York,M,1,N
9999999943,Alice,Glick,11-Sep-89,Oakville,F,4,N
9999999944,Barney,GUMBLE,17-Oct-72,Mississauga,M,3,N
9999999945,HERMAN,HERMAN,10-Jun-51,Mississauga,M,4,N
9999999946,Elizabeth,HOOVER,01-Sep-49,Mississauga,F,4,Y
9999999947,Kang,,,Rigel VII,U,9,U
9999999948,Kodos,,,Rigel VII,U,9,U
9999999949,Lenny,Leonard,10-Mar-44,Toronto,U,4,N
9999999950,LEWIS,CLARK,25-Aug-50,Unknown,U,3,N
9999999951,HELEN,LOVEJOY,15-May-49,?,U,3,Y
9999999952,OtTO,MANN,14-Feb-78,Pickering,M,1,N
9999999952,Otto,Mann,14-Feb-78,Pickering,M,1,N
9999999952,Otto,Mann,14-Feb-78,Pickering,M,1,N
9999999955,NeLsON,MUNTZ,17-Apr-88,Whitby,M,1,N
9999999956,Lindsey,Naegle,15-Apr-48,Whitby,F,2,N
9999999957,Apu,Nahasapeemapetilon,10-Sep-68,Markham,M,4,N
9999999958,Arnie,Pye,17-Nov-78,Milton,M,3,N
9999999959,Herbert,Powell,10-Oct-51,Georgetown,M,3,N
